Object ID *,County GNIS Code,Geographic Identifier - FIPS Code *,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,Total housing units,Vacant housing units,Vacant housing units for rent,"Vacant housing units rented, not occupied",Vacant housing units for sale only,"Vacant housing units sold, not occupied","Vacant housing units for seasonal, recreational, or occasional use",Vacant housing units for migrant workers,"Vacant housing units, other vacant",Percent of housing units that are vacant *,Total Occupied Housing Units,Owner Occupied Housing Units,Renter Occupied Housing Units,Year-round owner housing inventory,Homeowner vacancy rate,Year-round rental housing inventory,Rental vacancy rate,Year-round total housing inventory,Available vacant housing,Available housing vacancy rate *,Shape Area *,Shape Length *,Shape *
1,161526,1001,1539634184,25674812,Autauga County,Alabama,23697,2138,162,90,140,193,178,25,1350,9,21559,16088,5471,16421,0.9,5723,2.8,22144,302,1.4,2208587757,249970.1918,Polygon
2,161527,1003,4117656199,1132956041,Baldwin County,Alabama,116747,32700,16436,256,1866,974,9031,0,4137,28,84047,64716,19331,67556,2.8,36023,45.6,103579,18302,17.7,5911174508,537587.2607,Polygon
3,161528,1005,2292160149,50523213,Barbour County,Alabama,12057,2735,221,18,237,71,946,0,1242,22.7,9322,5775,3547,6083,3.9,3786,5.8,9869,458,4.6,3257906793,320882.8479,Polygon
4,161529,1007,1612188717,9572303,Bibb County,Alabama,9237,1978,49,0,72,13,154,0,1690,21.4,7259,5428,1831,5513,1.3,1880,2.6,7393,121,1.6,2311977955,227920.061,Polygon
5,161530,1009,1670259090,14860281,Blount County,Alabama,24404,3199,393,17,88,127,235,0,2339,13.1,21205,16132,5073,16347,0.5,5483,7.2,21830,481,2.2,2456904202,292630.2869,Polygon
6,161531,1011,1613083467,6030667,Bullock County,Alabama,4591,1162,70,34,3,0,336,0,719,25.3,3429,2531,898,2534,0.1,1002,7,3536,73,2.1,2262904520,249092.797,Polygon
7,161532,1013,2012002546,2701199,Butler County,Alabama,10119,3470,621,106,184,1451,187,0,921,34.3,6649,4872,1777,6507,2.8,2504,24.8,9011,805,8.9,2794760979,221283.3572,Polygon
8,161533,1015,1569246127,16536293,Calhoun County,Alabama,53722,9150,897,490,519,307,768,51,6118,17,44572,31370,13202,32196,1.6,14589,6.1,46785,1416,3,2300852367,263781.3082,Polygon
9,161534,1017,1545085601,16971700,Chambers County,Alabama,16985,3403,395,129,203,173,1093,13,1397,20,13582,9133,4449,9509,2.1,4973,7.9,14482,598,4.1,2222662396,208606.0414,Polygon
10,161535,1019,1433620850,120310807,Cherokee County,Alabama,16631,5795,302,0,203,118,3193,0,1979,34.8,10836,8477,2359,8798,2.3,2661,11.3,11459,505,4.4,2276002216,237079.5935,Polygon
11,161536,1021,1794438835,20592116,Chilton County,Alabama,19897,2757,272,56,388,730,708,0,603,13.9,17140,12878,4262,13996,2.8,4590,5.9,18586,660,3.6,2578783801,248625.3232,Polygon
12,161537,1023,2365900081,19114321,Choctaw County,Alabama,7410,2080,14,0,21,0,466,0,1579,28.1,5330,4350,980,4371,0.5,994,1.4,5365,35,0.7,3327536544,324953.7811,Polygon
13,161538,1025,3207494086,36657889,Clarke County,Alabama,12813,3490,124,146,144,53,1195,0,1828,27.2,9323,6761,2562,6958,2.1,2832,4.4,9790,268,2.7,4492990575,455174.0147,Polygon
14,161539,1027,1564255426,5281616,Clay County,Alabama,6832,1679,134,85,45,56,201,0,1158,24.6,5153,3947,1206,4048,1.1,1425,9.4,5473,179,3.3,2251227965,244308.3191,Polygon
15,161540,1029,1450666453,2352217,Cleburne County,Alabama,6859,1024,82,54,34,36,145,0,673,14.9,5835,4515,1320,4585,0.7,1456,5.6,6041,116,1.9,2103518737,264790.9459,Polygon
16,161541,1031,1758565928,3907189,Coffee County,Alabama,23313,3362,629,226,200,99,435,0,1773,14.4,19951,13527,6424,13826,1.4,7279,8.6,21105,829,3.9,2426766485,203468.7144,Polygon
17,161542,1033,1535742270,79160396,Colbert County,Alabama,26727,4930,694,135,150,188,721,41,3001,18.4,21797,15609,6188,15947,0.9,7017,9.9,22964,844,3.7,2394899037,262716.073,Polygon
18,161543,1035,2202213384,6426488,Conecuh County,Alabama,7203,2618,276,95,73,238,377,0,1559,36.3,4585,3426,1159,3737,2,1530,18,5267,349,6.6,3042810006,309795.3243,Polygon
19,161544,1037,1685846963,39991153,Coosa County,Alabama,6615,2599,29,34,102,205,828,0,1401,39.3,4016,3256,760,3563,2.9,823,3.5,4386,131,3,2456907532,209661.8484,Polygon
20,161545,1039,2669165738,34194671,Covington County,Alabama,19073,4078,173,83,267,211,669,0,2675,21.4,14995,11137,3858,11615,2.3,4114,4.2,15729,440,2.8,3710244591,288483.9935,Polygon
21,161546,1041,1576952763,5388562,Crenshaw County,Alabama,6834,1823,149,58,66,582,229,0,739,26.7,5011,3842,1169,4490,1.5,1376,10.8,5866,215,3.7,2194020410,286131.193,Polygon
22,161547,1043,1902962812,52533095,Cullman County,Alabama,38056,6323,493,114,426,62,1595,0,3633,16.6,31733,23734,7999,24222,1.8,8606,5.7,32828,919,2.8,2861200514,295392.6613,Polygon
23,161548,1045,1453276166,4051341,Dale County,Alabama,23151,3746,922,177,85,82,468,0,2012,16.2,19405,11380,8025,11547,0.7,9124,10.1,20671,1007,4.9,2007843656,200998.0995,Polygon
24,161549,1047,2534919608,39124778,Dallas County,Alabama,20427,5018,385,72,282,75,620,0,3584,24.6,15409,8731,6678,9088,3.1,7135,5.4,16223,667,4.1,3615260197,375473.7303,Polygon
25,161550,1049,2012620262,4107136,DeKalb County,Alabama,31424,5059,458,123,329,213,846,4,3086,16.1,26365,19275,7090,19817,1.7,7671,6,27488,787,2.9,2973711650,274855.553,Polygon
26,161551,1051,1601945705,99781059,Elmore County,Alabama,34332,4538,515,65,541,131,1956,0,1330,13.2,29794,22400,7394,23072,2.3,7974,6.5,31046,1056,3.4,2404342396,273321.8907,Polygon
27,161552,1053,2448595161,20024887,Escambia County,Alabama,16618,3687,369,25,230,21,226,0,2816,22.2,12931,8593,4338,8844,2.6,4732,7.8,13576,599,4.4,3379387359,290489.6629,Polygon
28,161553,1055,1385916770,35022972,Etowah County,Alabama,47805,9040,984,83,496,128,255,0,7094,18.9,38765,28285,10480,28909,1.7,11547,8.5,40456,1480,3.7,2074840409,252677.6271,Polygon
29,161554,1057,1625693254,4330881,Fayette County,Alabama,8493,1688,156,0,194,27,368,0,943,19.9,6805,5119,1686,5340,3.6,1842,8.5,7182,350,4.9,2362301126,222371.1387,Polygon
30,161555,1059,1641845708,32639621,Franklin County,Alabama,14082,3065,422,111,240,52,264,0,1976,21.8,11017,7828,3189,8120,3,3722,11.3,11842,662,5.6,2467990402,210530.7917,Polygon
31,161556,1061,1487908432,11567409,Geneva County,Alabama,12901,2329,141,85,133,43,416,0,1511,18.1,10572,7955,2617,8131,1.6,2843,5,10974,274,2.5,2051355982,212054.2326,Polygon
32,161557,1063,1675782057,33416141,Greene County,Alabama,5131,1953,5,7,13,0,1217,0,711,38.1,3178,2179,999,2192,0.6,1011,0.5,3203,18,0.6,2428713175,429975.2632,Polygon
33,161558,1065,1667926655,32403804,Hale County,Alabama,7847,2357,0,0,45,74,1214,0,1024,30,5490,4154,1336,4273,1.1,1336,0,5609,45,0.8,2411244631,299733.0199,Polygon
34,161559,1067,1454959642,16953809,Henry County,Alabama,9203,2647,296,0,104,52,862,0,1333,28.8,6556,5471,1085,5627,1.8,1381,21.4,7008,400,5.7,2031500363,199590.2109,Polygon
35,161560,1069,1501742239,4795415,Houston County,Alabama,47798,8014,1829,268,579,188,617,0,4533,16.8,39784,26229,13555,26996,2.1,15652,11.7,42648,2408,5.6,2063524546,246322.9165,Polygon
36,161561,1071,2792044654,126334707,Jackson County,Alabama,25135,4768,162,133,189,272,640,89,3283,19,20367,15731,4636,16192,1.2,4931,3.3,21123,351,1.7,4336180087,321762.7171,Polygon
37,161562,1073,2878852142,32681784,Jefferson County,Alabama,308825,45024,9619,3548,2747,1402,1287,43,26378,14.6,263801,166849,96952,170998,1.6,110119,8.7,281117,12366,4.4,4203366159,349978.4443,Polygon
38,161563,1075,1566544684,1600679,Lamar County,Alabama,7410,1779,314,47,25,111,118,0,1164,24,5631,4100,1531,4236,0.6,1892,16.6,6128,339,5.5,2275683924,206364.6875,Polygon
39,161564,1077,1730148679,133606345,Lauderdale County,Alabama,45272,6759,730,282,438,95,1267,0,3947,14.9,38513,26209,12304,26742,1.6,13316,5.5,40058,1168,2.9,2777329128,282882.8327,Polygon
40,161565,1079,1788864348,68682286,Lawrence County,Alabama,15333,2782,77,23,53,156,269,100,2104,18.1,12551,9842,2709,10051,0.5,2809,2.7,12860,130,1,2743021923,238127.7998,Polygon
41,161566,1081,1573528082,21515484,Lee County,Alabama,70256,9525,2063,564,1007,113,3986,0,1792,13.6,60731,38483,22248,39603,2.5,24875,8.3,64478,3070,4.8,2253833609,241936.3421,Polygon
42,161567,1083,1450296914,122310594,Limestone County,Alabama,36278,3553,782,103,255,252,518,54,1589,9.8,32725,25128,7597,25635,1,8482,9.2,34117,1037,3,2338327053,207527.3346,Polygon
43,161568,1085,1854651814,23271259,Lowndes County,Alabama,5251,1038,48,0,41,0,292,0,657,19.8,4213,3163,1050,3204,1.3,1098,4.4,4302,89,2.1,2627716274,283872.0067,Polygon
44,161569,1087,1576435594,11765508,Macon County,Alabama,10311,2719,167,195,67,10,591,0,1689,26.4,7592,4917,2675,4994,1.3,3037,5.5,8031,234,2.9,2233558439,249787.0789,Polygon
45,161570,1089,2076136600,28786030,Madison County,Alabama,164100,12472,2432,409,946,793,880,42,6970,7.6,151628,102658,48970,104397,0.9,51811,4.7,156208,3378,2.2,3126309078,296070.7468,Polygon
46,161572,1091,2530155136,14951685,Marengo County,Alabama,10377,2878,140,23,144,22,1223,0,1326,27.7,7499,5232,2267,5398,2.7,2430,5.8,7828,284,3.6,3568505116,316844.2925,Polygon
47,161573,1093,1922660061,3180617,Marion County,Alabama,14754,2974,633,92,38,115,450,0,1646,20.2,11780,8936,2844,9089,0.4,3569,17.7,12658,671,5.3,2818112635,229609.413,Polygon
48,161574,1095,1465531833,148495463,Marshall County,Alabama,40661,5546,428,34,349,129,1359,0,3247,13.6,35115,25598,9517,26076,1.3,9979,4.3,36055,777,2.2,2374683738,273836.3933,Polygon
49,161575,1097,3184064139,1074011171,Mobile County,Alabama,184321,26764,4077,1752,1730,1926,2258,0,15021,14.5,157557,100955,56602,104611,1.7,62431,6.5,167042,5807,3.5,4467024269,446559.5221,Polygon
50,161576,1099,2656469672,22609681,Monroe County,Alabama,11451,3401,250,81,18,45,1130,2,1875,29.7,8050,5463,2587,5526,0.3,2918,8.6,8444,268,3.2,3702031810,338515.2246,Polygon
51,161577,1101,2034045843,37716728,Montgomery County,Alabama,105063,15552,3784,419,1012,362,804,0,9171,14.8,89511,51588,37923,52962,1.9,42126,9,95088,4796,5,2903090686,314570.8534,Polygon
52,161578,1103,1501337447,50196644,Morgan County,Alabama,52248,5860,1049,89,353,346,136,0,3887,11.2,46388,33496,12892,34195,1,14030,7.5,48225,1402,2.9,2287416991,219739.8031,Polygon
53,161579,1105,1863936200,10902207,Perry County,Alabama,4759,1619,75,74,5,107,516,0,842,34,3140,2458,682,2570,0.2,831,9,3401,80,2.4,2651390392,263849.8208,Polygon
54,161580,1107,2282835039,22621093,Pickens County,Alabama,9620,1889,57,0,50,7,713,0,1062,19.6,7731,5870,1861,5927,0.8,1918,3,7845,107,1.4,3307673719,273481.3707,Polygon
55,161581,1109,1740645369,2339145,Pike County,Alabama,16241,4541,1223,567,125,785,282,0,1559,28,11700,7431,4269,8341,1.5,6059,20.2,14400,1348,9.4,2420437516,268538.6599,Polygon
56,161582,1111,1503618358,9283013,Randolph County,Alabama,12147,3492,271,63,93,5,1522,77,1461,28.7,8655,6856,1799,6954,1.3,2133,12.7,9087,364,4,2171211717,193440.074,Polygon
57,161583,1113,1660652494,15564412,Russell County,Alabama,27912,4218,1287,146,596,10,322,0,1857,15.1,23694,14324,9370,14930,4,10803,11.9,25733,1883,7.3,2352312055,253445.9716,Polygon
58,164997,1115,1635759732,56431785,St. Clair County,Alabama,36982,4217,188,72,342,85,555,0,2975,11.4,32765,26355,6410,26782,1.3,6670,2.8,33452,530,1.6,2452093557,299822.7641,Polygon
59,161584,1117,2034279155,62288767,Shelby County,Alabama,88090,7334,1331,702,653,625,1271,0,2752,8.3,80756,64906,15850,66184,1,17883,7.4,84067,1984,2.4,3006837236,302653.732,Polygon
60,161585,1119,2340898913,24634883,Sumter County,Alabama,6917,1562,0,0,5,0,414,0,1143,22.6,5355,3367,1988,3372,0.1,1988,0,5360,5,0.1,3341843976,370364.7088,Polygon
61,161586,1121,1908346572,60874403,Talladega County,Alabama,38021,6280,595,84,489,293,1533,0,3286,16.5,31741,22692,9049,23474,2.1,9728,6.1,33202,1084,3.3,2831655045,328321.9129,Polygon
62,161587,1123,1855798005,128790974,Tallapoosa County,Alabama,22565,6206,548,25,439,46,3391,0,1757,27.5,16359,12248,4111,12733,3.4,4684,11.7,17417,987,5.7,2820620541,267238.8975,Polygon
63,161588,1125,3420981170,78702314,Tuscaloosa County,Alabama,91719,17006,1548,593,486,245,9611,10,4513,18.5,74713,47018,27695,47749,1,29836,5.2,77585,2034,2.6,5022048938,349027.3367,Polygon
64,161589,1127,2048757700,36683003,Walker County,Alabama,31238,5798,389,90,288,86,766,0,4179,18.6,25440,19824,5616,20198,1.4,6095,6.4,26293,677,2.6,3028059080,288090.5543,Polygon
65,161590,1129,2797712949,21660030,Washington County,Alabama,8603,2773,94,47,19,76,1069,0,1468,32.2,5830,5215,615,5310,0.4,756,12.4,6066,113,1.9,3882445491,315920.4252,Polygon
66,161591,1131,2299540559,50592191,Wilcox County,Alabama,5804,1843,11,7,32,26,632,0,1135,31.8,3961,2770,1191,2828,1.1,1209,0.9,4037,43,1.1,3276690398,319240.8832,Polygon
67,161592,1133,1587657470,48873867,Winston County,Alabama,13700,4088,63,26,129,105,1997,0,1768,29.8,9612,7720,1892,7954,1.6,1981,3.2,9935,192,1.9,2395469868,202009.432,Polygon
68,1419964,2013,18091672533,20799851130,Aleutians East Borough,Alaska,1199,211,24,6,6,3,117,26,29,17.6,988,607,381,616,1,411,5.8,1027,30,2.9,57224898704,7242527.222,Polygon
69,1419965,2016,11377885025,25183635754,Aleutians West Census Area,Alaska,2013,707,31,13,2,2,370,74,215,35.1,1306,362,944,366,0.5,988,3.1,1354,33,2.4,32097233160,7433742.733,Polygon
70,1416061,2020,4420591349,621302197,Anchorage Municipality,Alaska,118293,11323,3582,521,1252,421,2003,0,3544,9.6,106970,66562,40408,68235,1.8,44511,8,112746,4834,4.3,19222870478,695999.7899,Polygon
71,1419966,2050,1.05224E+11,12764675306,Bethel Census Area,Alaska,6029,1530,113,19,26,0,709,6,657,25.4,4499,2510,1989,2536,1,2121,5.3,4657,139,3,4.63855E+11,6309531.472,Polygon
72,1419967,2060,1248315815,949775630,Bristol Bay Borough,Alaska,871,587,24,3,0,2,389,15,154,67.4,284,146,138,148,0,165,14.5,313,24,7.7,4912468166,315652.1232,Polygon
73,1419988,2068,32740165582,66105677,Denali Borough,Alaska,1664,938,13,6,25,7,665,6,216,56.4,726,602,124,634,3.9,143,9.1,777,38,4.9,1.66137E+11,2084187.823,Polygon
74,1419968,2070,47484825242,5943879883,Dillingham Census Area,Alaska,2462,1032,26,16,9,5,664,22,290,41.9,1430,864,566,878,1,608,4.3,1486,35,2.4,1.9374E+11,3054409.092,Polygon
75,1419969,2090,18997068212,259343323,Fairbanks North Star Borough,Alaska,44270,8071,1507,441,379,211,2445,0,3088,18.2,36199,21315,14884,21905,1.7,16832,9,38737,1886,4.9,1.0584E+11,1883222.388,Polygon
76,1419970,2100,6069358955,1041214321,Haines Borough,Alaska,1692,775,21,2,59,4,471,52,166,45.8,917,555,362,618,9.5,385,5.5,1003,80,8,23594038053,1764824.947,Polygon
77,2371430,2105,16978039504,7804886156,Hoonah-Angoon Census Area,Alaska,1623,868,22,5,14,12,544,12,259,53.5,755,553,202,579,2.4,229,9.6,808,36,4.5,64193043179,5585066.206,Polygon
78,1419971,2110,7003406836,1426230792,Juneau City and Borough,Alaska,13792,914,159,43,105,15,246,0,346,6.6,12878,8319,4559,8439,1.2,4761,3.3,13200,264,2,26557805875,1493377.592,Polygon
79,1419972,2122,41484923347,22541184317,Kenai Peninsula Borough,Alaska,31330,9549,422,79,243,142,5859,3,2801,30.5,21781,16409,5372,16794,1.4,5873,7.2,22667,665,2.9,1.72462E+11,7093140.721,Polygon
80,1419973,2130,12579382524,4651611659,Ketchikan Gateway Borough,Alaska,6427,1128,166,62,33,12,415,13,427,17.6,5299,3385,1914,3430,1,2142,7.7,5572,199,3.6,41794689865,3063704.908,Polygon
81,1419974,2150,17324067231,14148864370,Kodiak Island Borough,Alaska,5450,1219,136,22,65,11,550,118,317,22.4,4231,2102,2129,2178,3,2287,5.9,4465,201,4.5,64442853607,6719235.081,Polygon
82,1419985,2158,44229388640,6686187054,Kusilvak Census Area,Alaska,2219,469,18,3,0,0,264,2,182,21.1,1750,1255,495,1255,0,516,3.5,1771,18,1,2.13984E+11,3035934.062,Polygon
83,1419975,2164,61724164724,25989695209,Lake and Peninsula Borough,Alaska,1431,1065,35,4,4,3,799,11,209,74.4,366,236,130,243,1.6,169,20.7,412,39,9.5,2.52987E+11,5679411.67,Polygon
84,1419976,2170,63990747114,1446632980,Matanuska-Susitna Borough,Alaska,42018,10054,534,157,489,149,6892,10,1823,23.9,31964,24545,7419,25183,1.9,8110,6.6,33293,1023,3.1,2.98818E+11,2494475.013,Polygon
85,1419977,2180,59490634310,13780758093,Nome Census Area,Alaska,4092,1315,30,12,11,0,824,11,427,32.1,2777,1716,1061,1727,0.6,1103,2.7,2830,41,1.4,3.40535E+11,6439812.441,Polygon
86,1419978,2185,2.30052E+11,15551055437,North Slope Borough,Alaska,2581,590,57,37,1,1,156,2,336,22.9,1991,932,1059,934,0.1,1153,4.9,2087,58,2.8,1.86542E+12,9981177.053,Polygon
87,1419979,2188,92367472817,12837268666,Northwest Arctic Borough,Alaska,2742,947,21,28,0,0,564,11,323,34.5,1795,1021,774,1021,0,823,2.6,1844,21,1.1,6.24389E+11,6502833.024,Polygon
88,2516404,2195,7512659846,2385852278,Petersburg Borough,Alaska,1800,596,65,9,6,7,322,2,185,33.1,1204,850,354,863,0.7,428,15.2,1291,71,5.5,26887574622,1817206.817,Polygon
89,1419980,2198,13643344240,14612163807,Prince of Wales-Hyder Census Area,Alaska,3450,1097,86,17,29,35,584,13,333,31.8,2353,1731,622,1795,1.6,725,11.9,2520,115,4.6,48274907812,6499032.44,Polygon
90,1419981,2220,7433415763,5037747536,Sitka City and Borough,Alaska,4229,657,69,77,12,16,191,9,283,15.5,3572,2171,1401,2199,0.5,1547,4.5,3746,81,2.2,28281310108,2886098.571,Polygon
91,2339479,2230,1123881121,28784118,Skagway Municipality,Alaska,644,233,14,4,2,3,150,9,51,36.2,411,263,148,268,0.7,166,8.4,434,16,3.7,4387456396,349777.6177,Polygon
92,1419983,2240,64312145207,749823085,Southeast Fairbanks Census Area,Alaska,3911,1624,125,16,46,64,764,5,604,41.5,2287,1669,618,1779,2.6,759,16.5,2538,171,6.7,3.34524E+11,3645602.834,Polygon
94,2516402,2275,6619997018,2384375227,Wrangell City and Borough,Alaska,1451,462,42,7,2,11,308,18,74,31.8,989,705,284,718,0.3,333,12.6,1051,44,4.2,22529628275,2369786.308,Polygon
95,1419986,2282,19744203659,3986124692,Yakutat City and Borough,Alaska,417,196,16,0,2,1,121,0,56,47,221,114,107,117,1.7,123,13,240,18,7.5,81427299894,2592040.027,Polygon
96,1419987,2290,3.77039E+11,5944775428,Yukon-Koyukuk Census Area,Alaska,4081,2224,54,4,21,4,1349,2,790,54.5,1857,1380,477,1405,1.5,535,10.1,1940,75,3.9,2.22951E+12,9554504.519,Polygon
97,25441,4001,29003486215,54150732,Apache County,Arizona,32943,11438,556,49,367,108,5411,27,4920,34.7,21505,17134,4371,17609,2.1,4976,11.2,22585,923,4.1,43844438231,1216638.522,Polygon
98,25442,4003,16083178104,17664572,Cochise County,Arizona,61380,10463,1175,475,1329,407,2898,10,4169,17,50917,35181,15736,36917,3.6,17386,6.8,54303,2504,4.6,22395956253,602176.9637,Polygon
99,25443,4005,48216135399,116631422,Coconino County,Arizona,66807,17791,1888,191,542,109,13052,18,1991,26.6,49016,29789,19227,30440,1.8,21306,8.9,51746,2430,4.7,73716308722,1566141.001,Polygon
100,40471,4007,12321426494,97108979,Gila County,Arizona,33714,11191,268,38,586,134,7230,0,2935,33.2,22523,16934,5589,17654,3.3,5895,4.5,23549,854,3.6,18030915948,1033026.374,Polygon
101,25444,4009,11970605956,47476264,Graham County,Arizona,13678,2330,436,2,239,227,470,0,956,17,11348,8113,3235,8579,2.8,3673,11.9,12252,675,5.5,17108283309,667618.3048,Polygon
102,42807,4011,4771128170,13746346,Greenlee County,Arizona,4465,1170,234,57,12,54,338,0,475,26.2,3295,1682,1613,1748,0.7,1904,12.3,3652,246,6.7,6855033074,439803.2311,Polygon
103,43540,4012,11646049270,36551630,La Paz County,Arizona,16308,6380,154,114,464,105,4663,54,826,39.1,9928,7129,2799,7698,6,3067,5,10765,618,5.7,16934764595,707026.9495,Polygon
104,37026,4013,23832530727,62704529,Maricopa County,Arizona,1765880,169096,30961,7637,15080,9877,70714,122,34705,9.6,1596784,1008487,588297,1033444,1.5,626895,4.9,1660339,46041,2.8,34338295280,979636.8444,Polygon
105,25445,4015,34530024782,333401646,Mohave County,Arizona,115466,25053,924,435,1258,523,17455,2,4456,21.7,90413,63681,26732,65462,1.9,28091,3.3,93553,2182,2.3,52999151104,1334116.514,Polygon
106,42808,4017,25769061034,24125807,Navajo County,Arizona,58230,21824,766,199,707,185,15689,43,4235,37.5,36406,25372,11034,26264,2.7,11999,6.4,38263,1473,3.8,38919541932,1146778.21,Polygon
107,25446,4019,23798597680,5112018,Pima County,Arizona,463236,52294,10165,2723,4208,2268,18182,45,14703,11.3,410942,263142,147800,269618,1.6,160688,6.3,430306,14373,3.3,33263630068,863204.0865,Polygon
108,25447,4021,13897997152,22344374,Pinal County,Arizona,177933,29498,2122,659,2100,1302,17937,27,5351,16.6,148435,114923,33512,118325,1.8,36293,5.8,154618,4222,2.7,19803328008,716097.7414,Polygon
109,40472,4023,3201853240,3068237,Santa Cruz County,Arizona,18412,2363,515,77,157,140,758,28,688,12.8,16049,10883,5166,11180,1.4,5758,8.9,16938,672,4,4423476989,297944.5782,Polygon
110,42809,4025,21038142263,11513573,Yavapai County,Arizona,118531,17286,1427,343,814,540,11307,112,2743,14.6,101245,73506,27739,74860,1.1,29509,4.8,104369,2241,2.1,31143562655,899488.5097,Polygon
111,23901,4027,14280774789,13253159,Yuma County,Arizona,93612,18988,1616,187,818,401,12881,473,2612,20.3,74624,51220,23404,52439,1.6,25207,6.4,77646,2434,3.1,20273895360,670241.2817,Polygon
112,63755,5001,2569632248,120698180,Arkansas County,Arkansas,9495,2079,154,22,166,49,815,0,873,21.9,7416,4885,2531,5100,3.3,2707,5.7,7807,320,4.1,3950978632,409667.3751,Polygon
113,63756,5003,2397012349,38656004,Ashley County,Arkansas,10186,2470,167,13,60,73,1442,94,621,24.2,7716,5958,1758,6091,1,1938,8.6,8029,227,2.8,3487385296,284839.1235,Polygon
114,69895,5005,1434660641,84907080,Baxter County,Arkansas,22953,4226,350,92,104,139,2466,0,1075,18.4,18727,14346,4381,14589,0.7,4823,7.3,19412,454,2.3,2343508094,266366.0706,Polygon
115,69896,5007,2195586678,94813527,Benton County,Arkansas,108836,9175,1250,411,949,442,2303,0,3820,8.4,99661,65702,33959,67093,1.4,35620,3.5,102713,2199,2.1,3536922138,322199.6037,Polygon
116,69897,5009,1527375340,31797989,Boone County,Arkansas,17025,1982,229,10,213,110,522,0,898,11.6,15043,10835,4208,11158,1.9,4447,5.1,15605,442,2.8,2405893895,210857.1243,Polygon
117,63757,5011,1681335016,9505606,Bradley County,Arkansas,5818,1585,158,8,33,22,1226,22,116,27.2,4233,2671,1562,2726,1.2,1728,9.1,4454,191,4.3,2436148628,301573.785,Polygon
118,63758,5013,1628067881,9885352,Calhoun County,Arkansas,2943,1189,40,0,28,0,1042,12,67,40.4,1754,1465,289,1493,1.9,329,12.2,1822,68,3.7,2364903644,309939.8938,Polygon
119,66975,5015,1631531741,22705316,Carroll County,Arkansas,13764,2685,306,90,231,86,876,0,1096,19.5,11079,8320,2759,8637,2.7,3155,9.7,11792,537,4.6,2554687910,264121.9413,Polygon
120,69160,5017,1649764677,140413175,Chicot County,Arkansas,5429,1377,210,0,83,43,901,0,140,25.4,4052,2702,1350,2828,2.9,1560,13.5,4388,293,6.7,2567590002,338437.618,Polygon
121,66845,5019,2242855171,43965580,Clark County,Arkansas,10559,2223,207,0,226,0,501,3,1286,21.1,8336,4920,3416,5146,4.4,3623,5.7,8769,433,4.9,3339650040,369070.1119,Polygon
122,63759,5021,1655581940,5497697,Clay County,Arkansas,8024,1548,261,24,130,0,191,0,942,19.3,6476,4363,2113,4493,2.9,2398,10.9,6891,391,5.7,2567032100,285845.8558,Polygon
123,66983,5023,1434747665,98885396,Cleburne County,Arkansas,16143,5261,83,0,340,37,3618,0,1183,32.6,10882,8504,2378,8881,3.8,2461,3.4,11342,423,3.7,2321213762,197099.3378,Polygon
124,63760,5025,1548589576,2561701,Cleveland County,Arkansas,4123,953,21,0,18,7,631,0,276,23.1,3170,2470,700,2495,0.7,721,2.9,3216,39,1.2,2257238213,231430.2619,Polygon
125,63761,5027,1984098878,1985830,Columbia County,Arkansas,11698,3242,171,169,149,138,636,0,1979,27.7,8456,5820,2636,6107,2.4,2976,5.7,9083,320,3.5,2845160714,227384.1444,Polygon
126,66846,5029,1429458480,37757545,Conway County,Arkansas,9862,1371,195,0,66,152,250,0,708,13.9,8491,5966,2525,6184,1.1,2720,7.2,8904,261,2.9,2205684858,255633.0415,Polygon
127,66847,5031,1831531474,14330185,Craighead County,Arkansas,46156,3953,671,174,411,330,312,0,2055,8.6,42203,24055,18148,24796,1.7,18993,3.5,43789,1082,2.5,2814166160,250562.0585,Polygon
128,69161,5033,1541738667,27519858,Crawford County,Arkansas,26953,2888,439,88,247,8,441,0,1665,10.7,24065,18205,5860,18460,1.3,6387,6.9,24847,686,2.8,2378064705,267580.1616,Polygon
129,69162,5035,1587312625,81689126,Crittenden County,Arkansas,21790,2769,507,150,118,107,406,10,1471,12.7,19021,10806,8215,11031,1.1,8872,5.7,19903,625,3.1,2505567252,308759.0642,Polygon
130,66848,5037,1596255194,15389371,Cross County,Arkansas,7985,1417,202,15,44,135,114,0,907,17.7,6568,4363,2205,4542,1,2422,8.3,6964,246,3.5,2424779117,203599.1906,Polygon
131,66849,5039,1728358306,1731378,Dallas County,Arkansas,4346,1354,174,0,136,0,909,0,135,31.2,2992,2112,880,2248,6,1054,16.5,3302,310,9.4,2521822371,299825.2127,Polygon
132,66850,5041,1919735549,185180909,Desha County,Arkansas,6292,1233,154,0,30,52,252,54,691,19.6,5059,3137,1922,3219,0.9,2076,7.4,5295,184,3.5,3058307165,476192.5919,Polygon
133,66851,5043,2146225294,18789749,Drew County,Arkansas,8640,1433,238,0,118,46,770,32,229,16.6,7207,4840,2367,5004,2.4,2605,9.1,7609,356,4.7,3128130527,234052.6284,Polygon
134,66852,5045,1676360343,43618226,Faulkner County,Arkansas,50209,5118,1738,110,513,120,86,10,2541,10.2,45091,28115,16976,28748,1.8,18824,9.2,47572,2251,4.7,2578399534,269698.5483,Polygon
135,66853,5047,1577206794,28920052,Franklin County,Arkansas,8018,1347,146,0,46,6,112,0,1037,16.8,6671,4842,1829,4894,0.9,1975,7.4,6869,192,2.8,2429397907,270565.8804,Polygon
